item_name,animal_categories,reasoning,vegan,vegetarian,mpbamodifiable
Lemon Bar,"['sweet_dairy', 'egg']",Lemon bar,False,True,False
Peanut Butter Scotchy Bar,"['sweet_dairy', 'egg']",PB scotchy bar,False,True,False
Raspberry Bar,"['sweet_dairy', 'egg']",Raspberry bar,False,True,False
Rice Krispie Bar,['sweet_dairy'],Rice krispie bar - marshmallow,False,True,False
Vegan Lemon Bar,[],Vegan lemon bar,True,True,False
Almond Pear Cake,"['sweet_dairy', 'egg']",Almond pear cake,False,True,False
Carrot Cake,"['sweet_dairy', 'egg']",Carrot cake,False,True,False
Chocolate Cake,"['sweet_dairy', 'egg']",Chocolate cake,False,True,False
Pb Chocolate Cake,"['sweet_dairy', 'egg']",PB chocolate cake,False,True,False
Spiced Yam Cake- Wedge,"['sweet_dairy', 'egg']",Spiced yam cake,False,True,False
Vegan Gf Cake Slice,[],Vegan GF cake,True,True,False
Cupcake,"['sweet_dairy', 'egg']",Cupcake,False,True,False
Muffin,"['sweet_dairy', 'egg']",Muffin,False,True,False
Cinnamon Roll,"['sweet_dairy', 'egg']",Cinnamon roll,False,True,False
Cheesecake,"['sweet_dairy', 'egg']",Cheesecake,False,True,False
Cake Pops,"['sweet_dairy', 'egg']",Cake pops,False,True,False
Candy Patty,['sweet_dairy'],Candy patty,False,True,False
Chocolate Covered Oreos,['sweet_dairy'],Chocolate covered oreos,False,True,False
Pb Choc Tart,"['sweet_dairy', 'egg']",PB chocolate tart,False,True,False
Pretzel Bark,['sweet_dairy'],Pretzel bark,False,True,False
Vegan Peanut Butter Fudge,[],Vegan PB fudge,True,True,False
Enlightened Bean Crisps,[],Bean crisps - vegan,True,True,False
Organic Hickory Smokehouse Mushroom Jerky,[],Mushroom jerky - vegan,True,True,False
Taali Water Lily Pops,[],Water lily pops - vegan,True,True,False
Honey,[],Honey,True,True,False
Bakery Brand,"['sweet_dairy', 'egg']",Bakery brand item,False,True,False
Mint To Be,[],Mint to be item,True,True,False
Sandwich,"['savory_dairy', 'egg']",Sandwich - various options (Vegan Sandwich is separate),False,True,False
Poultry Sandwich,['unfried_chicken'],Chicken/turkey sandwich,False,False,False
Vegan Sandwich,[],Vegan sandwich,True,True,False
Chicken Curry Couscous On Greens,['unfried_chicken'],Chicken curry couscous,False,False,False
Lion'S Mane Crab Cakes,[],Lions mane mushroom crab cakes - vegan,True,True,False
Ratatouille With Chickpea Over Rice Or With Thick Cut Sourdough,[],Ratatouille - vegan,True,True,False
Daily Special,[],Daily special - varies,True,True,False
Vegan Shepards Pie,[],Vegan shepherds pie,True,True,False
